category,Contributions
,"La baisse des prélèvements est impérative  La France est championne d’Europe, youpi !, des prélèvements fiscaux et sociaux (46% de taxes tous azimuts sur les revenus). C’est la paralysie assurée de toutes les créations d’entreprises.
Il est urgent de programmer une véritable baisse des prélèvements sous peine de voir partir de France tous les créateurs et les emplois dans les prochaines années.
Par où commencer ? Pourquoi ne pas s’inspirer des allemands qui arrivent à avoir un budget de l’etat excédentaire. Il y a sûrement quelques bonnes idées à prendre outre Rhin.
"
Transition écologique,"Transition écologique Bonjour,

En France, plusieurs mesures peuvent être prises et ce de manière drastique. Je n'apprendrais rien à personne ici mais j'aimerais juste que des actions soient réalisées pour éviter les injustices :

-la première serait de limiter l'usage de la voiture pour favoriser le transport en commun, qui devient gratuit dans certaines villes qui sont néanmoins trop peu à le faire.
-la deuxième est de changer et de réduire les systèmes de chauffage résidentiel, interdire le chauffage au fioul etc...

Tout est ici :
https://www.novethic.fr/actualite/environnement/climat/isr-rse/infographie-interdiction-d-acheter-une-voiture-neuve-ou-de-prendre-un-long-courrier-couvre-feu-thermique-quotas-sur-les-produits-importes-les-mesures-chocs-pour-rester-sous-1-5-c-146877.html?fbclid=IwAR2_qYzMpETHM2e-S4l4ja_1sOorKU2lmaHnjpAAUiG-pEuh3y-z-coNnEg
"
Transition écologique,"Les véhicules électriques ne sont pas la solution Quand on fait le bilan écologique d'un produit, on parle de cycle de vie. Le cycle de vie comprends les ressources utilisées pour construire la voiture (métaux rares pour la batterie); l'utilisation (si tout le monde passe à l'électrique, nous n'auront pas assez de centrales nucléaires, et encore moins d'éoliennes), puis la fin de vie du véhicule (recyclage difficile des batteries)... la vision simpliste de certains écolo, voir de certains ministres, sont plus le fruit de rumeurs populaire, plutôt qu'une réflexion mature et réfléchie qu'on pourrait espérer de leur part."
Démocratie et citoyenneté,"Pour une société intergénérationnelle et solidaire Le Groupe d'études citoyennes sur le vieillissement défend la prise en compte de tous pour une démocratie participative.
Il soutient les développements d'une société d'échanges entre les générations."
Transition écologique,"Transition écologique La vulnérabilité des Français au prix des carburants est un fait. Des mesures doivent donc être adoptées pour les sortir de cette dépendance: 
-  Transports en commun et vélo, 
- Développement de véhicules véritablement moins émetteurs et moins polluants, 
- Désenclavement des territoires via un réseau ferré opérationnel, modernisé et accessible à tous les portefeuilles, 
- Lutte contre l'étalement urbain en rapprochant les lieux de vie des lieux de travail et de loisirs 
sont autant de solutions qui doivent être actées et financièrement soutenues par le gouvernement dans les prochaines lois. "
Organisation de l’Etat et des collectivités publiques,"Comment l'Etat peut-il améliorer son action ?  (1/3) Un certain nombre d'élus ou de membres de gouvernement se plaisent à rappeler à loisir que leur seul moteur est d'agir pour la France. Si il est bien sûr exact qu'il existe des personnes politiques qui sont mus par leurs convictions, ce n'est malheureusement pas le cas de tous.
Pour que l'Etat fonctionne efficacement, une condition première et nécessaire consiste à avoir effectivement des individus qui ne font pas passer leurs ambitions personnelles avant la chose publique.

Concrètement, il s'agit donc de mettre en place un certain nombre de réformes qui dissuadent les personnes concernées d'investir l'Etat, et les incitent donc naturellement à se tourner vers le privé.

Une première réforme simple consisterait à revoir la situation économique globale des politiques élus ou nommés ( indemnités, avantages en nature, retraites privilégiées...) afin de coïncider plus justement avec la réalité partagée par la plupart des français.

"
Démocratie et citoyenneté,"Abolir les privilèges inhérant à la fonction de représentant des citoyens - Rendre inéligible à vie toute personne condamnée pour corruption
- Combattre la pollution du débat parlementaire par les lobbies, interdire l'entrée des lobbyistes dans l'enceinte du Parlement et les cadeaux faits aux parlementaires
- Mettre fin au ""pantouflage"": tout haut fonctionnaire souhaitant travailler dans le privé devra démissionner de la fonction publique et rembourser le prix de sa formation s'il n'a pas servi au moins dix ans dans la fonction; durcir les règles de conflits d'intérêts, allonger les périodes d'interdiction d'exercer une fonction privée après avoir exercer une activité publique dans le même secteur
- Appliquer les recommandations d'Anticor et de Transparency International visant à empêcher la corruption et à rapprocher les représentants des représentés notamment supprimer la réserve parlementaire et rendre publique la déclaration de patrimoine
"
Démocratie et citoyenneté,"Souveraineté populaire - Instaurer la reconnaissance du vote blanc comme suffrage exprimé et généraliser la représentation proportionnelle
- Créer un droit de révoquer un élu en cours de mandat par référendum, sur demande d'une partie du corps électoral
- Instaurer le référendum d'initiative citoyenne et le droit aux citoyens de proposer une loi
- Rendre obligatoire le recours au référendum pour réviser la Constitution ou ratifier tout nouveau traité européen et garantir le respect de la décision populaire
-rendre effectif le principe de non cumul des mandats, y compris dans le temps
- Démocratiser l'accès aux responsabilités politiques en permettant à chacun de prendre un congé républicain sans risque pour son emploi ou ses droits quels qu'ils soient, en vue de se présenter à des élections"
Démocratie et citoyenneté,"Impératif écologique: révolution copernicienne - Protéger les biens communs: l'air, l'eau, l'alimentation, le vivant, la santé, l'énergie, la monnaie qui ne sont pas des ""marchandises"". Ils doivent être gérés démocratiquement: le droit de propriété doit être soumis à l'intérêt général, la propriété commune protégée et les services publics développés
- Constitutionnaliser la règle verte: on ne peut prélever sur la nature davantage que ce qu'elle peut reconstituer, ni produire plus que ce qu'elle peut supporter
- Constitutionnaliser et rendre effectifs les droit au logement et au travail (cf Article 23 de la déclaration universelle des Droits de l'Homme:"" Toute personne a droit au travail, au libre choix de son travail, à des conditions équitables et satisfaisantes de travail et à la protection contre le chômage"") 
- Protéger les lanceurs d'alerte et investir les salariés d'une mission d'alerte sociale et environnementale"
Organisation de l’Etat et des collectivités publiques,"Renforcement d'une police républicaine & Restaurer la police de proximité en refondant les objectifs des polices municipales et en définissant distinctement les missions nationales et locales
& Démanteler les BAC (Brigades anti-criminalité) qui ne font que du flagrant délit et ne permettent pas d'assurer une bonne relation entre la police et la population
& Interdire les Taser, Flash-Ball, LBD, grenades de désencerclement afin de favoriser la désescalade des affrontements
& Recruter des agents administratifs pour libérer policiers et gendarmes aptes à aller sur le terrain et qui travaillent sur des postes administratifs
& lancer un plan de rénovation et de construction de commissariats de police pour lutter contre la ""clochardisation"" du bâti et l'abandon de certains territoires 
& Dotation des services en moyens techniques et matériels suffisants (renouvellement général du parc informatique)"
Transition écologique,"Transition énergétique: un scénario à construire Ce scénario ambitieux et incontournable générera :
- à 7,4 millions de passoires énergétiques entièrement rénovées en 2025
- 126 000 équivalents temps plein créés
- 512 euros  d'économies en moyenne par ménage et par an
- 9 milliards d'euros d'économie pour la Sécurité Sociale d'ici 2055
- 1 milliard d'euros d'économie d'énergie en France dès 2026
- 12,5% de gaz à effet de serre en moins du secteur résidentiel
- 1,06€ de retour sur investissement pour un euro public investi
(source Novethic.fr)
Le gouvernement aura t-il la volonté et le courage ""d'outrepasser"" un mandat électoral?"
"Impôts, dépenses, action publique","Pillage financier de la Nation Les lois américaines de 1933 et 1934 étaient  le fruit d'une volonté de mieux réguler les marchés de capitaux au cours des premières années de la présidence de Franklin D. Roosevelt. Redonnons de l'éthique à la finance en: 
- Séparant les banques d'affaires et de détail
- Contrôlant les mouvements de capitaux
-Interdisant les ventes de gré à gré et la titrisation, en plafonnant les effets de levier et les rendements actionnariaux exorbitants
- Identifiant et en interdisant les produits dérivés toxiques et inutiles au financement et à la couverture des flux économiques réels
- en modulant l'impôt sur les sociétés selon l'usage des bénéfices pour encourager l'investissement en France (un taux réduit pour les bénéfices réinvestis en France, un taux plein pour les bénéfices distribués grassement aux actionnaires)"
Organisation de l’Etat et des collectivités publiques,"Financement des PME et la création d'emplois - Création d'un pôle public bancaire notamment par la socialisation de banques généralistes, en vue de financer les petites et moyennes entreprises et mener une politique de crédit sur les critères sociaux et écologiques
- Accord d'une licence bancaire à la Banque publique d'investissement (BPI) pour lui permettre de se financer auprès de la Banque centrale
- Financement de l'escompte des PME à taux zéro par le pôle financier public
- Réserve de l'avantage fiscal de l'assurance vie aux fonds investis en France( notamment aux  fonds verts)
- Encadrement de la sous-traitance et étendre la responsabilité juridique, social et écologique des ""donneurs d'ordre"" 
- Création d'un fonds de solidarité inter-entreprise pour mutualiser la contribution sociale entre toutes les entreprise, financé grâce à une contribution des entreprises selon un barème progressif

"
Transition écologique,"La transition écologique: enjeu central Le temps de l'écosystème, c'est le temps long. 
C'est donc une projection gouvernementale qui doit ""dépasser"" la fin d'un mandat électoral.
- 100% d'énergies renouvelables d'ici 2050
- Plan de rénovation écologique de tout le bâti
-  Développement de transports publics écologiques 
- Développement de nouvelles mobilités individuelles et collectives
-  Relocalisation  des productions au plus près des consommateurs
- Incitations à consommer ""autrement""
- Une France à ""zéro déchet""
- Sauvetage de l'écosystème et de la biodiversité
- Incitations à une agriculture écologique et paysanne
- Organisation et aménagement du territoire: amélioration urgente des services publics (transports, santé, scolarité, justice, administrations publiques, ...) 
- Exploitation durable des forêts
-Renforcement de la ""finance verte"" "
Organisation de l’Etat et des collectivités publiques,"Comment l'Etat peut-il améliorer son action ?  (2/3) Une réflexion sur la base du salaire médian français, pour des personnes représentant le peuple, constituerait une piste intéressante et juste. 
Et non, il n'est pas vrai qu' une trop faible incitation pécuniaire priverait la France de certains pseudos talents. C'est un argument fallacieux visant à préserver les avantages des premiers concernés.
Une personne portée par une profonde conviction de la chose publique déploiera la même énergie dans le cadre de ses fonctions, indépendamment des indemnités perçues.

Malheureusement, cela ne préserverait pas l'Etat des dérives des puissants lobbyistes.
D'une part l'Etat aurait besoin de nouveaux organes de contrôle pour surveiller au plus près ces dérives réelles. Et d'autre part, de nouvelles lois bien plus coercitives devraient être réfléchies, puis votées. "
Organisation de l’Etat et des collectivités publiques,"Comment l'Etat peut-il améliorer son action ?  (3/3) Avec une telle charge de travail, il est absolument inconcevable qu'une personne puisse cumuler plusieurs mandats, quels qu'ils soient.
Le non cumul des mandats se doit donc d'être imposé.

Concernant les parlementaires, où avons-nous pu observer qu' un salarié régulièrement absent à son poste continue à percevoir normalement son salaire ?
L'absentéisme de nos parlementaires est scandaleux, là aussi il est nécessaire de mettre en place des contrôles et d'attribuer ou non les indemnités.

Enfin, le nombre de mandats pour une même fonction devrait être limité à deux ou trois, avec une impossibilité à se représenter ultérieurement. Là encore, c'est d'abord la charge considérable de travail qui commande une telle mesure. Quelque soient l'énergie, ou les convictions d'une personne, l'usure finit toujours par gagner. De plus, un renouvellement plus régulier de la classe politique ne peut que constituer une respiration démocratique."
Organisation de l’Etat et des collectivités publiques,"Assemblée consultative auprès de chaque acteur public La création, auprès de chaque collectivité, et auprès de l’État, d’une assemblée consultative préalable tirée au sort au sein de la liste électorale
 Ces assemblées consultatives doivent émettre un avis rendu public et porté à connaissance des votants (parlementaires ou conseillers des collectivités) , sur les principales lois ou délibérations 
Ces assemblées consultatives (de 10 à 100 membres suivant les collectivités),  bénéficient d’indemnités  et de droits (saisines, obtention de délais complémentaires).
Sont adjoints à ces assemblées, à hauteur de 10 %, des représentants du personnel de l’État ou des collectivités, sur la base d’une élection tous les cinq ans.
Les entreprises publiques et les entreprises en charge de service public sont appelées  à constituer de telles assemblées consultatives présentant leur avis au CA et au concédant éventuel sur les décisions qui y sont liées. Ces assemblées associent les usagers à hauteur de 90 % et les personnels à hauteur de 10 %"
,"Maintenir un systéme social assurentiel Veiller à rester dans un cadre d’assurance sur les risques sociaux (retraite, famille, maladie, handicap, chômage, et autonomie demain...), et non d’aide sociale individualisée…..

L’ensemble des mesures en cours veulent, petit à petit, intégrer les enjeux de ressources du « foyer » dans les modalités de prise en compte de ces risques….
Le maintien d’un système assurantiel pour tous constitue économiquement la meilleure solution, toujours moins coûteuse que les assurances complémentaires privées que chacun se trouve sinon dans l’obligation de souscrire
Quelques pistes pour avancer dans cette réalité :
+ une généralisation du système mutualiste « à l’alsacienne » pour la France entière, gérée par la CPAM et couvrant la totalité des risques pour tous
+ une cotisation pour toutes ces assurances appuyées sur toutes les ressources, intégrant bien sûr les salaires, mais aussi tous les revenus du capital, les plus values et les transmissions de biens"
,"Revaloriser le SMIC en vrai salaire Assurer à chacun que les revenus de son travail, à temps plein, lui permette de vivre décemment

Il faut mettre fin aux modalités de « salaire complémentaire d’aide sociale » (prime d’activité et autres) , et en intégrer le montant dans le SMIC.
Sinon, nous arriverons à une absence de repère sur le « travail égal, salaire égal » qui disparaîtra, aux détriments clair des femmes et des jeunes, qui n’auront pas les compléments de salaires éventuels au titre de leur conjoint ou parent….."
"Impôts, dépenses, action publique","Légitimer les dépenses publiques Assurer à chacun que les revenus de son travail, à temps plein, lui permette de vivre décemment

Il faut mettre fin aux modalités de « salaire complémentaire d’aide sociale » (prime d’activité et autres) , et en intégrer le montant dans le SMIC.
Sinon, nous arriverons à une absence de repère sur le « travail égal, salaire égal » qui disparaîtra, aux détriments clair des femmes et des jeunes, qui n’auront pas les compléments de salaires éventuels au titre de leur conjoint ou parent….."
"Impôts, dépenses, action publique","Faire des économies de dépenbses publiques Réduire certaines dépenses

Quelques pistes là aussi pour avancer, et permettant de réallouer les sommes à des services publics de proximité 
+ Arrêter les dépenses de « mises à jour » des armes nucléaires françaises...il suffit qu’elles restent « dissuasives »
+ Stopper, dans la même démarche, les aides au développement de l’énergie nucléaire future par EDF, le CEA et l’État, en se limitant à maintenir en vie les réacteurs existants, pour investir dans les énergies renouvelables et non polluantes
+Annuler le CICE, et au moins le cumul de la double dépense sur une seule année, et réduire parallèlement les « dépenses fiscales » diverses menées au bénéfice des entreprises, souvent contre les services publics (impôts recherche….)
"
,"Refonte complète du pays. Rendre le vote obligatoire et sanctionner.
Tous les citoyens participent à l'I.R.
Coupes drastiques des aides aux étrangers au profit de la famille française.
Consulter les citoyens sur l'immigration par référendum, avec comme question: ""voulez-vous une immigration choisie sous la forme de quotas""
Diminuer le nombre de députés: pas plus de trois par département soit 303.
Abaisser la dépense publique de 25% soit ne pas dépasser 965 millions d'Euros par an.
Aligner les droits et devoirs des fonctionnaires sur le privé.
Appliquer une taxe unique et fixe sur les carburants: 25cts par litre par exemple.
Augmenter le nombre de magistrats.
Proposer une défiscalisation sur l'investissement de nouvelles places de prison.
Supprimer:
-le droit du sol.
-le droit d'asile.
-le rapprochement familial.
-la sécurité de l'emploi à tous les fonctionnaires.
A terme:
mettre en place la gestion du pays sous la forme d'une association loi de 1901 et apolitique.
C'est tout pour aujourd'hui."
"Impôts, dépenses, action publique","L'imposition fiscale Proposition : engager une refonte complète des impositions avec comme maître mot « Simplification ». C’est le moment de tirer profit de la mise en place du prélèvement à la source. 
Il me semble qu’il faudrait se donner comme objectif d’appliquer le prélèvement à la source sur tous les revenus : salaires, bénéfices de tous ordres, mobilier, bénéfice du patrimoine... Une simple déclaration annuelle de tous nos revenus déterminerait le taux de prélèvement adressé à tous les gestionnaires des revenus.
En même temps on supprimerait toutes les niches fiscales qui concourent à l’injustice entre les citoyens. 
"
"Impôts, dépenses, action publique","Recrutement de fonctionnaires en CDI sur le mérite  Monsieur le Président de la République,

Il n'y a rien de plus gratifiant pour un citoyen que de servir son pays en exerçant une mission de service publique. Notre pays compte énormément de fonctionnaires contractuels dont la situation est précaire et le travail n'est pas reconnu à sa juste valeur. Ainsi, je propose la titularisation au mérite de contractuels ayant exercé pendant plus de 3 ans sans interruption dans la fonction publique. "
"Impôts, dépenses, action publique","Appliquer une TVA différente selon les produits  Pour relancer le pouvoir d'achat et stimuler la consommation, je propose une baisse 1,5 points de la TVA réduite sur les produits de première nécessité, soit un taux de 4% comme en Allemagne. En revanche, la TVA normal doit être augmenté 1 point sur les produits à forte valeur ajoutée, passant de 20 à 21 %. "
Organisation de l’Etat et des collectivités publiques,"Organisation de l'État et des services publics - Soyons plus girondin et donc moins jacobin. Appliquons le principe de subsidiarité.
- Selon la formule De JP DELEVOYE « Quand je présidais le CESE, j’avais souhaité plus de décentralisation, avec des pouvoirs réels accordés aux régions, aux départements et aux collectivités locales, l’État devenant une fédération de régions ».
"
Transition écologique,"Construire une offre abordable et attractive de transports en commun. On en peut pas prétendre que les hausses du prix du carburants sont justifiées par la proximité de l'épuisement des stocks et, dans les mêmes temps, ne pas investir dans les transports en commun.
Or,  la SNCF ferme des lignes et des gares et dégrade petit à petit tout ce qui n'est pas le TGV. Et énormément des zones résidentielles ne sont pas ou plus desservies.
Il faut construire une offre abordable et attractive de transports en commun.
L'état doit impulser ce mouvement, de manière budgétaire, en y affectant une partie des dotations aux collectivités territoriales et de manière incitative via la réglementation."
,Rétablir l'ISF Rétablir l'ISF.
"Impôts, dépenses, action publique","I.S.F. Rétablissons l'ISF et ce sera à nouveau le départ de gros contribuables qui dépenseront leur argent ailleurs : logement, automobiles, loisirs, resto ...etc et les TVA (fortes) qui vont avec ."
"Impôts, dépenses, action publique","Expatriés fiscaux Les expatriés fiscaux ne payent plus d'impôt en France, l'effort fiscal des français fiscalisés en France sert aussi à alimenter la sécurité sociale, comment se fait-il que les expatriés fiscaux ( en Belgique, au Portugal... ) puissent venir se faire soigner en France sans participer par leur fiscalité à des rentrées d'argent pour les caisses de la sécurité sociale française ?
Il faudrait soit remettre en cause cet exil fiscal, on est français on paye ses impôts en France quelque soit le lieu de résidence à l'étranger (Cf les USA) et on profite des avantages du système de santé français  ou on se fait naturaliser ailleurs on paye ses impôts ailleurs et on se fait soigner ailleurs."
"Impôts, dépenses, action publique","Urgences hospitalières Arrêtons l’hypocrisie ou la schizophrénie :
les services d'urgences  hospitalières et le personnel qui y travaille croulent sous le volume de l'activité ils nous le disent à juste titre, mais les chefs d'établissement se frottent les mains à chaque entrée qu'il s'agisse d'un gros ou d'un petit cas ( bobologie ) la médecine libérale est tout à fait capable d'absorber cette bobologie avec l'aide des radiologues ou biologistes pour établir des diagnostics rapidement et à moindre frais et ne pas encombrer les services d'urgences où les urgentistes  ont les compétences pour la bonne prise en charge des gros cas, mais la trésorerie des hôpitaux en pâtirait. "
